task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
Xor,{},128,3e-05,128,2,0.99,0.03,2048,0.74658203125,2048,0.74658203125
Xor,{},128,3e-05,128,2,0.99,0.03,512,1,2048,1
Xor,{},128,3e-05,32,2,0.99,0.03,2048,0.48828125,2048,0.48828125
Xor,{},128,3e-05,32,2,0.99,0.03,512,0.5,2048,0.5
Xor,{},128,3e-05,8,2,0.99,0.03,2048,0.49462890625,2048,0.49462890625
Xor,{},128,3e-05,8,2,0.99,0.03,512,0.50244140625,2048,0.50244140625
Procgen:StarPilot,{},128,3e-05,128,2,0.99,0.03,2048,1.08695650100708,23,0.0146484375
Procgen:StarPilot,{},128,3e-05,128,2,0.99,0.03,512,1.909090876579285,22,0.015625
Procgen:StarPilot,{},128,3e-05,32,2,0.99,0.03,2048,1.1515151262283323,33,0.01513671875
Procgen:StarPilot,{},128,3e-05,32,2,0.99,0.03,512,0.8846153616905212,26,0.017578125
Procgen:StarPilot,{},128,3e-05,8,2,0.99,0.03,2048,0.7083333134651184,24,0.00634765625
Procgen:StarPilot,{},128,3e-05,8,2,0.99,0.03,512,1.625,24,0.01025390625
RockPaperScissors,{},128,3e-05,128,2,0.99,0.03,2048,1.029296875,2048,1.029296875
RockPaperScissors,{},128,3e-05,128,2,0.99,0.03,512,1.1142578125,2048,1.1142578125
RockPaperScissors,{},128,3e-05,32,2,0.99,0.03,2048,1.01953125,2048,1.01953125
RockPaperScissors,{},128,3e-05,32,2,0.99,0.03,512,1.0107421875,2048,1.0107421875
RockPaperScissors,{},128,3e-05,8,2,0.99,0.03,2048,0.7001953125,2048,0.7001953125
RockPaperScissors,{},128,3e-05,8,2,0.99,0.03,512,0.97265625,2048,0.97265625
Procgen:Plunder,{},128,3e-05,128,2,0.99,0.03,2048,1.7999999523162842,5,0.00732421875
Procgen:Plunder,{},128,3e-05,128,2,0.99,0.03,512,1.25,4,0.01123046875
Procgen:Plunder,{},128,3e-05,32,2,0.99,0.03,2048,4.800000190734863,5,0.00634765625
Procgen:Plunder,{},128,3e-05,32,2,0.99,0.03,512,3.799999952316284,10,0.005859375
Procgen:Plunder,{},128,3e-05,8,2,0.99,0.03,2048,2.4285714626312256,7,0.0107421875
Procgen:Plunder,{},128,3e-05,8,2,0.99,0.03,512,2.625,8,0.00927734375
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,128,2,0.99,0.03,2048,0.6111301779747009,499,0.14890332520008087
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,128,2,0.99,0.03,512,0.6333358287811279,481,0.14874732494354248
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,32,2,0.99,0.03,2048,0.6127516031265259,508,0.1519911140203476
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,32,2,0.99,0.03,512,0.6391475796699524,496,0.15479356050491333
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,8,2,0.99,0.03,2048,0.3550342619419098,811,0.14059220254421234
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",128,3e-05,8,2,0.99,0.03,512,0.6416174173355103,515,0.1613442450761795
NotHotdog,{},128,3e-05,128,2,0.99,0.03,2048,1,2048,1
NotHotdog,{},128,3e-05,128,2,0.99,0.03,512,1,2048,1
NotHotdog,{},128,3e-05,32,2,0.99,0.03,2048,0.998046875,2048,0.998046875
NotHotdog,{},128,3e-05,32,2,0.99,0.03,512,1,2048,1
NotHotdog,{},128,3e-05,8,2,0.99,0.03,2048,0.5,2048,0.5
NotHotdog,{},128,3e-05,8,2,0.99,0.03,512,0.9873046875,2048,0.9873046875
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.03,2048,0.018518518656492233,108,0.0009765625
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.03,512,0.12746478617191315,142,0.00935058481991291
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.03,2048,0.004739336669445038,211,0.0006103515625
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.03,512,0.014473684132099152,114,0.0006591797573491931
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.03,2048,0.003392857266589999,280,0.00043945317156612873
MultiSnake,"{""num_snakes"": 2, ""max_snake_length"": 11}",128,3e-05,8,2,0.99,0.03,512,0.005696202628314495,237,0.0007812500698491931
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.03,2048,0.30352941155433655,85,0.01298828236758709
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,128,2,0.99,0.03,512,0.6840000748634338,25,0.011083983816206455
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.03,2048,0.02500000037252903,36,0.0005859375814907253
MultiSnake,"{""num_snakes"": 1, ""max_snake_length"": 11}",128,3e-05,32,2,0.99,0.03,512,0.11640625447034836,128,0.007812499534338713
