task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,anneal_ent,episodic_reward.mean,episodic_reward.count,reward.mean,charts/SPS
Xor,{},256,0.0003,64,2,0.99,0.003,1024,False,1,4096,1,7347
Xor,{},256,0.001,64,2,0.99,0.003,1024,False,0.615966796875,4096,0.615966796875,7363
Xor,{},256,0.003,64,2,0.99,0.003,1024,False,1,4096,1,7098
Xor,{},256,0.01,64,2,0.99,0.003,1024,False,0.49951171875,4096,0.49951171875,7718
Xor,{},256,0.0003,64,2,0.99,0.003,512,False,1,4096,1,4984
Xor,{},256,0.001,64,2,0.99,0.003,512,False,0.498779296875,4096,0.498779296875,4923
Xor,{},256,0.003,64,2,0.99,0.003,512,False,0.875244140625,4096,0.875244140625,5182
Xor,{},256,0.01,64,2,0.99,0.003,512,False,0.515380859375,4096,0.515380859375,4994
Xor,{},256,0.0003,64,2,0.99,0.003,256,False,0.74169921875,4096,0.74169921875,3179
Xor,{},256,0.001,64,2,0.99,0.003,256,False,1,4096,1,3051
Xor,{},256,0.003,64,2,0.99,0.003,256,False,0.5,4096,0.5,3151
Xor,{},256,0.01,64,2,0.99,0.003,256,False,0.61181640625,4096,0.61181640625,3173
Xor,{},256,0.0003,64,2,0.99,0.003,1024,True,1,4096,1,7372
Xor,{},256,0.001,64,2,0.99,0.003,1024,True,1,4096,1,7209
Xor,{},256,0.003,64,2,0.99,0.003,1024,True,0.7470703125,4096,0.7470703125,7128
Xor,{},256,0.01,64,2,0.99,0.003,1024,True,0.749755859375,4096,0.749755859375,7148
Xor,{},256,0.0003,64,2,0.99,0.003,512,True,1,4096,1,4863
Xor,{},256,0.001,64,2,0.99,0.003,512,True,1,4096,1,4911
Xor,{},256,0.003,64,2,0.99,0.003,512,True,0.622802734375,4096,0.622802734375,5011
Xor,{},256,0.01,64,2,0.99,0.003,512,True,0.499267578125,4096,0.499267578125,4925
Xor,{},256,0.0003,64,2,0.99,0.003,256,True,0.749755859375,4096,0.749755859375,3102
Xor,{},256,0.001,64,2,0.99,0.003,256,True,0.49853515625,4096,0.49853515625,2948
Xor,{},256,0.003,64,2,0.99,0.003,256,True,0.871826171875,4096,0.871826171875,3020
